epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.613,1.17025,2.12032,1.61118,0.36378,0.23014,0.09611,0.02343,2.63003,5.02672,5.37636,0.0702459,0.00330601,0.00330601
2,983.42,1.22849,1.80795,1.67319,0.48847,0.30884,0.28221,0.12089,1.99707,2.93581,3.09383,0.0398077,0.00620115,0.00620115
3,1461.07,1.18046,1.65848,1.62866,0.52334,0.44145,0.37569,0.19369,1.62339,1.97653,2.74815,0.00892951,0.00865628,0.00865628
4,1963.49,1.12836,1.5751,1.5922,0.53066,0.37043,0.37505,0.18645,1.42477,2.37158,2.28064,0.00802,0.00802,0.00802
5,2496.98,1.06233,1.51578,1.53953,0.38305,0.54753,0.49492,0.31102,1.22329,1.55954,2.0456,0.00736,0.00736,0.00736
6,3147.84,0.99766,1.42141,1.72079,0.43009,0.57577,0.54266,0.34818,1.1603,1.39915,1.96177,0.0067,0.0067,0.0067
7,3709.13,0.95267,1.291,1.6503,0.49423,0.56545,0.54648,0.37636,1.05985,1.33621,1.80198,0.00604,0.00604,0.00604
8,4247.29,0.90535,1.19688,1.59667,0.57011,0.59064,0.57509,0.40872,1.0547,1.19565,1.78107,0.00538,0.00538,0.00538
9,4745.95,0.85575,1.12397,1.54983,0.74828,0.54707,0.57586,0.41226,0.99564,1.12729,1.70123,0.00472,0.00472,0.00472
10,5229.68,0.83005,1.08815,1.526,0.75839,0.56692,0.61044,0.44605,0.95563,1.09227,1.65668,0.00406,0.00406,0.00406
11,5710.38,0.80433,1.0318,1.47896,0.56493,0.65516,0.61254,0.46042,0.91752,1.03147,1.60284,0.0034,0.0034,0.0034
12,6174.54,0.78821,1.02236,1.45616,0.55621,0.62947,0.63021,0.4801,0.89253,1.02225,1.57252,0.00274,0.00274,0.00274
13,6613.63,0.77106,0.98222,1.45063,0.63843,0.60384,0.6319,0.49064,0.86254,1.01645,1.53393,0.00208,0.00208,0.00208
14,7011.63,0.73892,0.96922,1.41332,0.57738,0.64638,0.63854,0.48961,0.86185,0.9697,1.53471,0.00142,0.00142,0.00142
15,7402.71,0.71427,0.92506,1.39162,0.59794,0.64745,0.65007,0.50524,0.84693,0.94759,1.5091,0.00076,0.00076,0.00076
